file_name,title,source,source_url,topic
caring_mental_health.pdf,Caring for Your Mental Health,NIH,Caring for Your Mental Health - National Institute of Mental Health (NIMH),stress_and_anxiety
prevention_anxiety.pdf,"Prevention and Treatment of Anxiety, Depression, and Suicidal Thoughts and Behaviors Among College Students",drugsandalcohol,"Prevention and Treatment of Anxiety, Depression, and Suicidal Thoughts and Behaviors Among College Students",stress_and_anxiety
reduce_stress.pdf,How to reduce stress and anxiety through movement and mindfulness,Harvard,"Prevention and Treatment of Anxiety, Depression, and Suicidal Thoughts and Behaviors Among College Students",stress_and_anxiety
mindfulness_practices.pdf,"Mindfulness Practices for Mental Health: Techniques, Benefits, and Daily Habits",MentalHealthHotline.org,"Mindfulness Practices for Mental Health: Techniques, Benefits, and Daily Habits - Mental Health Hotline | 866-903-3787 | Free & Confidential",stress_and_anxiety
positive_thinking.pdf,Positive thinking: Stop negative self-talk to reduce stress,Mayo Clinic,Positive thinking: Stop negative self-talk to reduce stress - Mayo Clinic,stress_and_anxiety
copying_grief_loss.pdf,Coping With Grief and Loss,NIH,Coping With Grief and Loss | National Institute on Aging,grief_and_loss
copying_bereavement_grief.pdf,Coping with Bereavement and Grief,SAMHSA,Coping with Bereavement and Grief | SAMHSA,grief_and_loss
functions_care.pdf,What functions do palliative care bereavement services deliver? A scoping review,NIH,10.1177_26323524251326947.pdf,grief_and_loss
manage_grief_loss.pdf,How to Manage Grief and Loss Before and After a Loved One’s Hospice Journey,Crown Hospice,How to Manage Grief and Loss Before and After a Loved One’s Hospice Journey - Crown Hospice,grief_and_loss
bereavement_programs.pdf,Bereavement Intervention Programs,NIH,Bereavement Intervention Programs - Bereavement - NCBI Bookshelf,grief_and_loss
transitions_dying_bereavement.pdf,Transitions in Dying & Bereavement: A Psychosocial Guide to Hospice and Palliative Care,Victoria Hospice,Microsoft Word - TRANSITION_reviews,grief_and_loss
loneliness_isolation.pdf,Our Epidemic of Loneliness and Isolation,HHS,Our Epidemic of Loneliness and Isolation,loneliness
social_connection.pdf,Social Connection,CDC,Social Connection | Social Connection | CDC,loneliness
connect_others.pdf,Connect with Others,MHA,Connect with Others | Mental Health America,loneliness
social_connection_improve_health.pdf,Social connection linked to improved health and reduced risk of early death,WHO,Social connection linked to improved health and reduced risk of early death,loneliness
social_connection_recreation.pdf,Social Connections and Recreation,MHA,Social Connections and Recreation | Mental Health America,loneliness
connection_prescription.pdf,The Connection Prescription : Using the Power of Social Interactions and the Deep Desire for Connectedness to Empower Health and Wellness,NIH,10.1177_1559827615608788.pdf,loneliness
self_esteem_compassion.pdf,Self-Esteem and Self-Compassion: A Narrative Review and Meta-Analysis on Their Links to Psychological Problems and Well-Being,NIH,PRBM_A_402455 2961..2975,self_confidence
low_self_esteem.pdf,Students Experiencing Low Self-esteem or Low Perceptions of Competence,APA,Students Experiencing Low Self-esteem or Low Perceptions of Competence,self_confidence
practice_self_compassion.pdf,Practicing Self-Compassion,APA,Psychiatry.org - Practicing Self-Compassion,self_confidence
give_yourself_a_break.pdf,Don’t cry over spilled milk—The research on why it’s important to give yourself a break,APA,CE corner: Why you need more self-compassion,self_confidence
practice_compassion.pdf,"Practice what you profess: Faculty mental health, compassion fatigue, and cultivating a resilience practice",APA,"Practice what you profess: Faculty mental health, compassion fatigue, and cultivating a resilience practice",self_confidence
role_self_compassion.pdf,The role of self-compassion in the relationship between resilience and negative affect,scientific reports,The role of self-compassion in the relationship between resilience and negative affect | Scientific Reports,self_confidence
budget_create_stick.pdf,Budgeting: How to create a budget and stick with it,cfpb,Budgeting: How to create a budget and stick with it | Consumer Financial Protection Bureau,financial_concerns
family_financial_stress.pdf,Families’ Financial Stress & Well-Being: The Importance of the Economy and Economic Environments,NIH,Families’ Financial Stress & Well-Being: The Importance of the Economy and Economic Environments,financial_concerns
keep-junk_fee_away.pdf,Keeping junk fees away from workers’ unemployment benefits,cfpb,Keeping junk fees away from workers’ unemployment benefits | Consumer Financial Protection Bureau,financial_concerns
recovering_financial.pdf,Start recovering and rebuilding your financial life,cfpb,Start recovering and rebuilding your financial life | Consumer Financial Protection Bureau,financial_concerns
framework_financial.pdf,A Structural Determinants Framework for Financial Well-Being,NIH,A Structural Determinants Framework for Financial Well-Being,financial_concerns
guide_financial_wellness.pdf,Vanguard’s guide to financial wellness,Vanguard,Vanguard’s guide to financial wellness,financial_concerns
improve_sleep.pdf,Improve Sleep: Tips to Improve Your Sleep When Times Are Tough,CDC,Improve Sleep: Tips to Improve Your Sleep When Times Are Tough | NIOSH Science Bulletin | CDC,health_and_wellness
effect_physical_sleep.pdf,The Effect of Physical Activity on Sleep Quality and Sleep Disorder: A Systematic Review,NIH,cureus-0015-00000043595.pdf,health_and_wellness
selfcare_health_wellbeing.pdf,Self-care for health and well-being,WHO,Self-care for health and well-being,health_and_wellness
promoting_health_sleep.pdf,Promoting healthy sleep with the CDC,AASM,Promoting healthy sleep with the CDC - Sleep Education,health_and_wellness
selfcare_tips.pdf,8 Self-Care Tips,Nature Made,Why is Self-Care Important? | Nature Made®,health_and_wellness
ways_improve_health_habit.pdf,Six Simple Ways to Improve Your Health Habits,Atriium Health,Daily Dose - Six Simple Ways to Improve Your Health Habits,health_and_wellness
goal_setting_flourish.pdf,Beyond Goal Setting to Goal Flourishing,APA,Beyond Goal Setting to Goal Flourishing,personal_growth
harness_power_habit.pdf,Harnessing the power of habits,APA,Harnessing the power of habits,personal_growth
connection_emotional_intelligence_wellbeing.pdf,The vital connection between emotional intelligence and well-being — Part 2: Strategies to grow your personal emotional intelligence competencies,NIH,cvj_04_391.pdf,personal_growth
habit_improve_mood.pdf,10 Daily Habits to Improve Your Mood and Maximize Self-Care While Achieving Grad School Goals,SPSP,10 Daily Habits to Improve Your Mood and Maximize Self-Care While Achieving Grad School Goals | SPSP,personal_growth
wellbeing_technology.pdf,"Well-Being Technologies and Positive Psychology Strategies for Training Metacognition, Emotional Intelligence and Motivation Meta-Skills in Clinical Populations: A Systematic Review",MDPI,"Well-Being Technologies and Positive Psychology Strategies for Training Metacognition, Emotional Intelligence and Motivation Meta-Skills in Clinical Populations: A Systematic Review",personal_growth
progress_goal.pdf,Frequently Monitoring Progress Toward Goals Increases Chance of Success,APA,Frequently monitoring progress toward goals increases chance of success,personal_growth
digital_wellbeing.pdf,Digital Wellbeing for Instructors and Students,WVU,Digital Wellbeing for Instructors and Students | CAHS Digital Learning Hub | West Virginia University,daily_life
sunshine_screentime.pdf,Sunshine & Screen Time: Digital Wellness for the Summer,GMU,Sunshine & Screen Time: Digital Wellness for the Summer - Information Technology Services,daily_life
support_digital_wellness.pdf,Supporting Digital Wellness with Everyday Tools,UCLA,Supporting Digital Wellness with Everyday Tools | Health Information Technology,daily_life
time_management.pdf,Time Management,UNC,Time Management - Student Wellness,daily_life
manage_screentime.pdf,Digital Well-Being: Managing Screen Time and Promoting Healthy Tech Habits in Families,Behavioral Health News,Digital Well-Being: Managing Screen Time and Promoting Healthy Tech Habits in Families - Behavioral Health News,daily_life
wellness_online.pdf,Digital Wellness in an Online World,PSU,Digital Wellness in an Online World | Penn State World Campus Chaiken Center for Student Success,daily_life
metal_health_resources_to_know.pdf,10 Mental Health Resources & Organizations To Know About,Behavioral Safety,10 Mental Health Resources & Organizations To Know About - Behavioral Safety Products,general_support
about_mental_health.pdf,About Mental Health,CDC,About Mental Health | Mental Health | CDC,general_support
meeting_needs_saving_lives.pdf,"Crisis Services: Meeting Needs, Saving Lives",SAMHSA,"Crisis Services: Meeting Needs, Saving Lives",general_support
understand_psychosis.pdf,Understanding Psychosis,NIH,Understanding Psychosis - National Institute of Mental Health (NIMH),general_support
navigate_mental_health_resources.pdf,Navigating Mental Health Resources,kids first,Navigating Mental Health Resources - Kids First,general_support
cope_mental_health.pdf,"How to Cope With Mental Health, Drug, and Alcohol Issues",SAMHSA,"How to Cope With Mental Health, Drug, and Alcohol Issues | SAMHSA",general_support
